nova001.krn,*M2/4,1
nova002.krn,*M4/4,3
nova003.krn,*M4/4,1
nova004.krn,*M6/8,5
nova005.krn,*M4/4,5
nova006.krn,*M3/4,5
nova007.krn,*M6/8,1
nova008.krn,*M6/8,1
nova009.krn,*M3/4,5
nova010.krn,*M4/4,2
nova011.krn,*M4/4,1
nova012.krn,*M3/8,1
nova013.krn,*M3/4,1
nova014.krn,*M6/8,1
nova015.krn,*M3/4,1
nova016.krn,*M3/4,4
nova017.krn,*M3/4,3
nova018.krn,*M6/8,5
nova019.krn,*M3/4,1
nova021.krn,*M6/8,1
nova022.krn,*M2/4,1
nova023.krn,*M4/4,1
nova024.krn,*M3/4,1
nova025.krn,*M3/4,7
nova026.krn,*M4/4,1
nova027.krn,*M3/4,1
nova028.krn,*M3/4,5
nova030.krn,*M6/8,4
nova031.krn,*M3/4,2
nova032.krn,*M4/4,1
nova033.krn,*M3/4,1
nova034.krn,*M6/8,5
nova035.krn,*M4/4,5
nova036.krn,*M6/8,5
nova037.krn,*M6/8,6
nova038.krn,*M3/4,5
nova039.krn,*M3/4,4
nova040.krn,*M6/8,3
nova041.krn,*M3/4,5
nova042.krn,*M6/8,1
nova043.krn,*M4/4,1
nova044a.krn,*M3/4,3
nova044b.krn,*M3/4,4
nova045.krn,*M2/4,4
nova046.krn,*M3/4,5
nova047.krn,*M6/8,4
nova048.krn,*M4/4,1
nova049.krn,*M3/4,1
nova050.krn,*M4/4,1
nova051.krn,*M4/4,5
nova052.krn,*M4/4,5
nova053.krn,*M3/4,2
nova054.krn,*M4/4,5
nova055.krn,*M3/4,3
nova056.krn,*M4/4,1
nova057.krn,*M4/4,1
nova059.krn,*M3/4,1
nova060.krn,*M2/4,5
nova061.krn,*M3/4,5
nova062.krn,*M4/4,1
nova063.krn,*M6/8,5
nova064.krn,*M2/4,5
nova065.krn,*M3/4,1
nova066.krn,*M6/8,3
nova067.krn,*M6/8,1
nova068.krn,*M6/8,1
nova069.krn,*M3/4,3
nova070.krn,*M6/8,1
nova071.krn,*M6/8,5
nova072.krn,*M6/8,3
nova073.krn,*M6/8,1
nova074.krn,*M6/8,5
nova075.krn,*M4/4,6
nova076.krn,*M6/8,1
nova077.krn,*M3/4,1
nova078.krn,*M3/4,1
nova079.krn,*M6/8,5
nova080.krn,*M6/8,5
nova081.krn,*M4/4,5
nova082.krn,*M3/4,1
nova083.krn,*M6/8,1
nova084.krn,*M3/4,1
nova085.krn,*M3/4,4
nova086.krn,*M4/4,1
nova087.krn,*M4/4,1
nova089.krn,*M2/4,1
nova090.krn,*M6/8,1
nova091.krn,*M4/4,5
nova092.krn,*M4/4,1
nova093.krn,*M6/8,1
nova094.krn,*M3/4,1
nova095.krn,*M4/4,6
nova096.krn,*M6/8,5
nova097.krn,*M6/8,2
nova098.krn,*M3/4,3
nova099.krn,*M4/4,1
nova101.krn,*M3/4,3
nova102.krn,*M3/4,1
nova103.krn,*M4/4,5
nova104.krn,*M6/8,5
nova105.krn,*M6/8,6
nova106.krn,*M6/8,1
nova107.krn,*M3/4,2
nova108.krn,*M3/4,1
nova109.krn,*M4/4,6
nova110.krn,*M6/8,3
nova111.krn,*M4/4,1
nova112.krn,*M4/4,1
nova113.krn,*M6/8,1
nova114.krn,*M4/4,1
nova115.krn,*M6/8,6
nova116.krn,*M3/4,1
nova117.krn,*M6/8,5
nova118.krn,*M6/8,3
nova119.krn,*M3/4,2
nova120.krn,*M4/4,2
nova121a.krn,*M4/4,4
nova121b.krn,*M3/4,3
nova122.krn,*M3/4,1
nova123.krn,*M6/8,1
nova125.krn,*M2/4,1
nova126.krn,*M3/4,1
nova127.krn,*M4/4,1
nova128.krn,*M6/8,1
nova129.krn,*M2/4,5
nova130.krn,*M6/8,5
nova131.krn,*M6/8,5
nova132.krn,*M2/4,2
nova133.krn,*M3/4,5
nova134.krn,*M6/8,2
nova135.krn,*M4/4,6
nova136.krn,*M6/8,5
nova137.krn,*M4/4,5
nova138.krn,*M4/4,1
nova139.krn,*M4/4,3
nova140.krn,*M4/4,1
nova141.krn,*M2/4,3
nova142.krn,*M4/4,4
nova143.krn,*M4/4,3
nova144.krn,*M6/8,5
nova145.krn,*M6/8,5
nova146.krn,*M4/4,3
nova147.krn,*M4/4,1
nova148.krn,*M6/8,5
nova149.krn,*M6/8,1
nova150.krn,*M6/8,5
